"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",14.1809645036456,13.4837959234995,14.1650633017675,12.9835744515645,14.7003014959413,14.3009011641841,13.7332176073371,14.4859321866455,14.683064301773,14.0039958251079,14.1185328642289,14.4931293214383,14.7270860381721,14.6967063161002,14.3058081272317,14.4013959985534,14.6294132179445,14.5021668958763
"2",14.1822816449372,13.3087057384838,14.294671688745,12.9442528409147,14.7453637652921,14.2483798926224,13.8955224327506,14.3504984765138,14.6510132426772,14.2221418962441,14.173387561494,14.5850595082445,14.9346619341291,14.7021217325643,14.3781995706626,14.3585563365549,14.5283496189631,14.4651527862738
"3",14.3595597670803,13.4865652541611,14.2887545310162,12.9849127636419,14.6582338251191,14.2727833138192,13.8314473337435,14.3367903806282,14.6806991600246,14.1889508931781,14.0325651165382,14.4604589444782,14.7308822973941,14.5045699013582,14.3695845139552,14.4796213505556,14.6357086428731,14.4458541373432
"4",14.3304106874183,13.3896702442263,14.2100081759988,13.2142128081619,14.6723596933558,14.2779184841803,13.7170068832866,14.3446756685415,14.7207365323883,14.0942264885645,14.0876958485326,14.755858016585,14.8068433523213,14.6631593305669,14.3965455854131,14.4226818078666,14.6651530939442,14.5002729787536
"5",14.4515845730194,13.5860699380179,14.1555234382857,13.4109820751809,14.6355683115547,14.2304305776986,13.9814311680198,14.4717353121812,14.5248983403489,14.2218071817114,14.114215375162,14.6994347413501,14.8814592401247,14.6002483993287,14.3726501030661,14.3382730012836,14.7395562781205,14.5119837860944
"6",14.1980591772544,13.5389053124024,14.1473613957842,12.667447687905,14.602147047163,14.2306974198076,14.0191814806422,14.2817795873647,14.6074980389886,14.310408640516,14.175791671272,14.6702884769675,14.8872152407247,14.6148613988946,14.3091672194907,14.4427611745877,14.6785973770225,14.4923229860563
"7",14.3127676533483,13.5147486633835,14.3553527593049,12.8764838496943,14.5583241564295,14.3471166763687,13.746522658053,14.29256260945,14.5823015608097,14.4211082014172,14.0844379504,14.6672624608073,14.9516969761499,14.7477554766957,14.1150987492466,14.4128667751118,14.8822641316222,14.6982688457668
"8",14.2502409466525,13.3755928194346,14.3430745597429,13.3363398250216,14.5202446417786,14.2568767847264,13.7004826126257,14.3446373861823,14.711631040541,14.3694370575405,14.1246195813024,14.6603213287516,14.8303397356454,14.5689961646854,14.3308472074976,14.3963282124717,14.8422385881152,14.4007523481858
"9",14.0904857766388,13.6358198045346,14.2648869941337,13.2467170152489,14.5795905914356,14.276865205264,13.8664897335019,14.370593993874,14.5881050876485,14.4425368718896,14.3444792531476,14.5730899194216,14.7079030991521,14.6073996035781,14.3350538700751,14.2984020223645,14.5904824995346,14.54162352319
"10",14.2833038828305,13.3752185942751,14.3090101480598,13.2982978262743,14.5152130995248,14.3245182514453,14.0059722599254,14.4223491200918,14.761560621243,14.2055740483269,14.2179667565524,14.6813076417691,14.8675156654379,14.6094188713516,14.3748526441989,14.3893228930268,14.600845818015,14.5351621410334
"11",14.2127517198915,13.3619716803647,14.2553296281639,13.3859177308667,14.4935399004825,14.3963000469186,14.0915222750679,14.2792190644622,14.5520008755817,14.2638118954667,14.0087172213198,14.6630223365867,14.6482330420868,14.5754595687563,14.3684290358345,14.3863229755358,14.4878714402926,14.4800210560375
