"","N","Nhat","Nhatu","Nhatl"
"Nhat[1]",0.0043169,0.0272006671384077,0.0157309007603134,2.27773160387284e-13
"Nhat[2]",0.11283492,0.12875081171286,0.517661925543246,6.89723057436223e-80
"Nhat[3]",0.03820619,0.0520107180325154,1.30629800853112,8.1637788527166e-27
"Nhat[4]",0.11597947,0.136743134004102,3.29834868056432,6.48739658094604e-19
"Nhat[5]",0.37702913,0.387687550490164,2.24380264578759,3.52049725864537e-20
"Nhat[6]",0.37722906,0.392556220146774,3.192748572532,7.04977101051682e-20
"Nhat[7]",0.29337295,0.310696667924752,2.08082938480058,3.4957488320084e-19
"Nhat[8]",0.06099524,0.0778217735963086,0.553922703032388,1.08010635928065e-14
"Nhat[9]",0.54479,0.539121615456906,3.28962080635733,6.05987439166313e-19
"Nhat[10]",0.17597568,0.202072919669277,93.2616811257963,4.43510382942576e-45
"Nhat[11]",0.02939952,0.0428221497973398,0.279059885512785,1.99896178013163e-10
"Nhat[12]",1.43436726,1.30013645889034,6.27737730469268,9.33102274604163e-11
"Nhat[13]",1.7302134,1.53640237514836,7.01522614649298,6.78144833770752e-43
"Nhat[14]",2.34170168,2.01008828841177,7.70189525764482,6.84911096864372e-17
"Nhat[15]",0.5546314,0.554788277696789,35.8362788523333,2.27353659788614e-12
"Nhat[16]",0.55235784,0.558833915351352,11.9000699701997,7.69809566525978e-53
"Nhat[17]",0.472032,0.488437067765036,118.827589388855,3.32800335873947e-24
"Nhat[18]",2.23010204,1.94472906016867,9.43123410096906,7.19073747801249e-09
"Nhat[19]",1.34202475,1.28816349457933,17.970433893407,1.89615147622086e-06
"Nhat[20]",1.89231338,1.77991700475109,6.5501731776817,8.24298060203891e-16
"Nhat[21]",1.51317492,1.45043434047025,15.2418615642372,9.23642753907959e-08
"Nhat[22]",0.89270501,0.861109163828056,4.90120746310734,6.47346052281155e-11
"Nhat[23]",1.2644928,1.21002013012691,3.81757338826135,2.78363516374558e-44
"Nhat[24]",1.40958466,1.35528858023949,5.36230479834812,9.78334103650371e-14
"Nhat[25]",0.44783426,0.760836439911131,8.80766556467662,1.95831761957341e-08
"Nhat[26]",1.02493834,1.13537848081459,2.91211330628009,3.36627149576662e-11
"Nhat[27]",0.62061129,1.0485253805091,15.5825797832442,1.23626216809624e-11
"Nhat[28]",1.46031907,1.50378309332221,3.98738168980329,5.46424325917938e-18
"Nhat[29]",1.33909303,1.39658667146639,18.1173841873455,3.98507476443574e-10
"Nhat[30]",0.9460562,1.22369463153227,2.63006184949839,3.49736450797237e-12
"Nhat[31]",1.03248526,1.30698116574403,2.79280709405288,2.61895951155129e-08
"Nhat[32]",2.95719336,2.54146968571884,8.13230460950968,3.0197632508801e-12
"Nhat[33]",3.33331561,2.88446156355007,10.5322197554619,2.82701027392016e-19
"Nhat[34]",1.58882217,2.13761987209588,54.5846398473869,9.93928014062895e-11
"Nhat[35]",1.73310871,1.77124535549264,5.83224890990053,2.63174747947481e-26
"Nhat[36]",1.81032812,1.83550176774443,19.6831686038919,1.05079088046898e-10
"Nhat[37]",1.43465365,1.45877662616908,11.4819912497829,4.60741255228979e-07
"Nhat[38]",1.26552773,1.37359818755337,35.8875426156002,8.47435417043345e-18
"Nhat[39]",2.77754265,2.41409302559246,12.3032271539324,2.60202442100189e-37
"Nhat[40]",2.99637915,2.48638884885965,9.23895750687071,2.91511589667265e-08
"Nhat[41]",2.04785426,1.91243319859213,14.918166108758,1.04955833054416e-21
"Nhat[42]",1.2933008,1.43011938523543,45.812875182163,4.30817316802588e-10
"Nhat[43]",2.55449103,2.35418090447968,28.0854770880275,1.30729079872415e-08
"Nhat[44]",3.12642275,2.65075105266483,13.6495010675429,1.63605503560678e-06
"Nhat[45]",1.64834917,1.69276287551142,5.20598800465866,4.80660969080556e-08
"Nhat[46]",3.20661061,2.92431316823827,9.57271196705492,2.51002170567751e-13
"Nhat[47]",3.44331917,2.98917549918436,15.820020795784,3.39697221395508e-08
"Nhat[48]",3.24360571,2.90176652392888,15.1298797977649,5.94763758505314e-09
"Nhat[49]",3.20586488,2.67886482763943,10.3304554762658,3.85219683702459e-09
"Nhat[50]",2.62569825,2.45235416719377,8.68164048089476,2.419249505796e-06
"Nhat[51]",1.61854694,1.64228779386912,5.89024662713108,3.21839822828776e-11
"Nhat[52]",0.01706837,0.8097783859849,18749.8538364929,2.1478116416874e-73
"Nhat[53]",0.21088165,0.229812437770859,175.439393138293,1.04202770344004e-17
"Nhat[54]",0.05418808,0.0773789192129681,5947.3822635196,1.28770736476227e-45
"Nhat[55]",0.21105352,0.226698928814199,8.73545167649313,3.88088151076737e-15
"Nhat[56]",0.16282078,0.183685941537025,0.716164564967974,1.30647530869488e-18
"Nhat[57]",0.41278306,0.418665001569612,2.02290252358199,3.57688789705103e-18
"Nhat[58]",0.31952454,0.33244152763108,1.31058867493766,7.60847685185288e-30
"Nhat[59]",0.27579753,0.290730983967519,2.17294912399596,1.010541716246e-14
"Nhat[60]",0.05728541,0.0800618422021871,14.5803569083972,2.43461646109714e-20
"Nhat[61]",0.05506838,0.0731040055496982,30.8819624100282,2.61051598229136e-35
"Nhat[62]",0.35597215,0.361402948752816,2.48721313680476,4.54618195820035e-09
"Nhat[63]",0.14811304,0.172437897083434,0.496127931024502,5.53317861092426e-16
"Nhat[64]",0.09295415,0.111442604252506,0.40744648387517,6.34773584229038e-32
"Nhat[65]",0.49511533,0.500565367896073,5.48065838484681,9.91658088397521e-17
"Nhat[66]",1.00905169,0.927401068202014,3.61364545889227,2.85921217369302e-30
"Nhat[67]",1.32848688,1.18948010997644,4.77559714013893,7.10394941145231e-14
"Nhat[68]",0.48723179,0.486295427764426,11.7189089649807,3.96980217951842e-28
"Nhat[69]",0.26298031,0.273941841805831,2.08519057544563,2.7814964995552e-08
"Nhat[70]",0.30136635,0.310912099793875,4.9992977388523,3.2000665303418e-14
"Nhat[71]",0.52259963,0.509765467762719,2.12088481361761,1.4744025160151e-09
"Nhat[72]",0.68389181,0.657425653143213,16.0745760989997,3.78835101581833e-13
"Nhat[73]",0.57675291,0.563274552392762,3.20644626739811,2.78706185819048e-10
"Nhat[74]",1.47726873,1.35049550919031,19.1063751431257,2.20034545299492e-13
"Nhat[75]",0.01275447,0.0551928240884002,1779.10431069801,7.16183912592477e-50
"Nhat[76]",1.28899789,1.22268078070762,6.61839617661828,8.10230296155845e-08
"Nhat[77]",1.58861939,1.44005451061,7.52538117514146,1.84107371338558e-07
"Nhat[78]",2.46782044,2.11315581518246,9.49777013833589,6.36587598155519e-13
"Nhat[79]",0.83679852,0.803181558202945,2.81817419348843,4.78668278021476e-13
"Nhat[80]",1.8430644,1.61442989941041,6.85874146826412,1.6331364556897e-14
"Nhat[81]",1.22899005,1.11836340490815,6.31176613737509,2.40483106307092e-09
"Nhat[82]",1.02750412,0.949791668722959,4.09643997911495,1.83419036126904e-17
"Nhat[83]",2.63424473,2.42986892241427,5.98062803541241,3.56780545270306e-29
"Nhat[84]",1.85309904,1.89330059032828,4.43970203227723,5.3509483555299e-20
"Nhat[85]",1.71031412,1.73348174251692,4.87474237903665,8.63674647534816e-07
"Nhat[86]",2.34035324,2.21607300886722,5.63966686422281,7.25176379791176e-09
"Nhat[87]",2.6551564,2.42862354192595,12.4564249487799,4.16141446714629e-07
"Nhat[88]",2.06315931,2.01572586044763,14.676108506405,1.68250059734999e-14
"Nhat[89]",1.76069594,1.96610406462759,24.5453077541674,3.64619078299947e-06
"Nhat[90]",2.77164036,2.72456829921421,9.18050821864564,2.39023102586691e-21
"Nhat[91]",4.236403,3.63963131306004,11.0137437415392,5.38821480629452e-08
"Nhat[92]",3.57737708,3.16925038178259,24.9219429437863,1.46494701835798e-18
"Nhat[93]",1.85531417,1.98069401860468,13.2796413385526,1.91836468162498e-11
"Nhat[94]",2.99611314,2.89757665839024,7.06553269377191,5.98979982590442e-17
"Nhat[95]",2.22287672,2.14326292969039,9.09199760548169,5.04882658334764e-18
"Nhat[96]",0.35528998,1.07828758763746,1.39319566658634,8.48614341926777e-12
"Nhat[97]",0.42536393,1.10044393625231,1.22209421601026,2.65145187546136e-29
"Nhat[98]",2.64706294,2.67171868284895,9.55222804790355,2.49505689279147e-08
"Nhat[99]",1.60417205,1.90396210748485,6.41622182061679,1.34804507061347e-07
"Nhat[100]",2.87345537,2.7123233235319,6.98097814860524,3.79221111457433e-22
"Nhat[101]",1.82377532,1.96883097522249,5.01377495972504,2.31194266750598e-07
"Nhat[102]",2.22820216,2.27307999005291,8.57104251791842,1.42039150177275e-06
"Nhat[103]",2.83116792,2.77042626474454,10.9109108747321,3.16645421928154e-08
"Nhat[104]",2.03707497,2.01805123220896,26.9137835705398,1.9876019932828e-09
"Nhat[105]",3.0731322,2.06536553610313,6.32474703876703,4.02980009140362e-13
"Nhat[106]",0.42909454,0.82843501660257,3.81639008417464,4.76146262136788e-09
"Nhat[107]",1.63270875,1.56198561155091,3.08458580887268,1.92796210508868e-07
"Nhat[108]",2.10777611,1.96331252018288,3.98705778842019,2.25185980776227e-13
"Nhat[109]",3.84535588,3.75300607364217,14.5871376201679,0.000291382656067882
"Nhat[110]",1.52958681,1.50228621653986,14.1334151429645,9.76509237723407e-07
"Nhat[111]",1.40997726,1.37766423909118,3.09797495996357,0.124346340555653
"Nhat[112]",1.52056939,1.5067551573408,4.19838000281835,0.156844337322286
"Nhat[113]",0.17724375,0.958707685515109,23.8192556110857,5.19848415139883e-16
"Nhat[114]",0.73268969,1.00530264971876,2.54664116804773,0.000225761084103759
"Nhat[115]",1.09643849,1.16040424522258,4.13865047972193,2.83579124732065e-11
"Nhat[116]",0.77628473,0.972543963632342,8.30748324922476,9.33830592822539e-06
"Nhat[117]",0.78353322,0.927864580553708,1.80232102185836,0.0311220564721466
"Nhat[118]",0.61945439,0.965426575173494,1.19963518576552,2.43636227620119e-15
"Nhat[119]",2.35168154,2.12255722598025,4.90643276794792,0.0694321589129554
"Nhat[120]",2.394736,2.33228866731643,4.57795708310648,9.68841957911569e-08
"Nhat[121]",1.63937325,1.71704013268009,3.91431686027628,0.0749949848524645
"Nhat[122]",1.86115289,1.73541920619449,3.34747929004353,4.86817413439506e-06
"Nhat[123]",5.93456223,3.19221400730023,11.5240017647243,2.10135160377527e-19
"Nhat[124]",2.50507824,2.23697446727004,6.24176852133353,0.110337916618221
"Nhat[125]",1.97612464,1.90398065117795,5.62693568533809,0.0174160924929275
"Nhat[126]",1.81690994,1.81945431626195,12.0253368207381,0.000176446635473532
"Nhat[127]",1.80623237,1.76092519370478,6.88121761529476,5.94928950559572e-05
"Nhat[128]",1.65599019,1.62333062130387,3.1110642961765,4.53446264219223e-11
"Nhat[129]",2.42099189,2.25390484569068,4.55722452442247,2.24057372145519e-07
"Nhat[130]",1.11573348,1.26477949738079,3.62302015325503,0.0828479027178173
"Nhat[131]",1.71140907,1.60054605455367,4.99109101965302,0.139622299976442
"Nhat[132]",1.2122669,1.32103470042714,2.67369503462338,9.64465553751285e-09
"Nhat[133]",1.8957366,1.7867809707124,5.31454885399679,0.0661189261768858
"Nhat[134]",1.5864248,1.58748159946834,3.006404323926,2.40498479384813e-08
"Nhat[135]",1.45588518,1.55313987717811,2.94157317588723,8.44753357872195e-09
"Nhat[136]",2.53245502,2.22723040040279,4.84478555224338,4.71298602335404e-09
"Nhat[137]",1.72876284,1.71622102157152,3.23262689433302,1.02942606230536e-05
"Nhat[138]",1.34948327,1.37109003209572,4.31755967298792,3.14422228801095e-05
"Nhat[139]",1.21912995,1.23501988638565,2.60138150662975,0.0635808938341261
"Nhat[140]",0.51516102,0.577221034998137,4.55992002312427,6.03711227663112e-06
"Nhat[141]",0.63683465,0.680822054718411,1.72297004571352,3.47206578743306e-23
"Nhat[142]",0.73451451,0.761789094033862,2.26150643748066,4.06213962337003e-14
"Nhat[143]",1.30192703,1.27895628092443,3.8117205392945,2.26284060955083e-13
"Nhat[144]",1.47392388,1.4917147578864,4.37704668940988,3.64354045990582e-10
"Nhat[145]",0.94097675,0.995008405319091,15.4925561351605,2.77217102722295e-11
"Nhat[146]",1.52449229,1.44879688524585,6.76594334504665,9.89709489683614e-08
"Nhat[147]",2.12480575,1.9157071332443,6.24449286808481,7.12930569884342e-11
"Nhat[148]",1.979044,1.74119321718241,5.78700472829621,2.29209379894247e-15
"Nhat[149]",1.62969747,1.52721101477916,7.445972687951,1.32772787172601e-19
"Nhat[150]",1.97950853,1.73057765001466,8.91283962608937,3.04746125597078e-06
"Nhat[151]",1.23341747,1.19222174914902,8.26830787452686,6.01030090768575e-19
"Nhat[152]",1.35025501,1.30701988185043,4.02042711369233,1.79372187791354e-12
"Nhat[153]",1.46113322,1.38547660480733,4.95067879696138,1.16777800662367e-20
"Nhat[154]",1.08574036,1.0656139792242,7.30845985473315,9.03419598600906e-08
"Nhat[155]",0.59348667,0.643124671982308,3.73732462527295,1.01464936424772e-11
"Nhat[156]",1.10011293,1.08375334690776,14.0981796416539,3.28457704817975e-25
"Nhat[157]",0.55045356,0.586386170050093,32.1897629214714,2.36411142528865e-15
"Nhat[158]",0.27503624,0.345223828750422,37.4269435578926,1.32911780384968e-32
"Nhat[159]",0.25417384,0.338026562448395,42.1243518192986,1.22933120291418e-11
"Nhat[160]",0.79814577,0.809799493465909,2.24592261544888,1.43607136792281e-14
"Nhat[161]",2.44718344,2.3310091352188,8.88797116245621,4.2030896181198e-24
"Nhat[162]",1.23533402,1.25614526859067,4.58471246996329,4.22992363773197e-16
"Nhat[163]",3.02381587,2.70963039408527,17.096784846349,7.61245227943188e-15
"Nhat[164]",1.93410685,1.91364045551245,87.4205961466609,1.34372560561296e-22
"Nhat[165]",2.15193481,2.19455214646076,47.9538680442901,2.56220363672986e-18
"Nhat[166]",1.73421045,1.70100777015588,6.74502629292623,8.49602491994157e-19
"Nhat[167]",1.49690573,1.52470371115742,11.5830955315755,7.62078935980786e-13
"Nhat[168]",1.37220246,1.44511595577812,150.118554016155,8.16089194467194e-13
"Nhat[169]",1.5759272,1.56995920966884,6.39173578807177,1.20097260299979e-40
"Nhat[170]",1.61027314,1.6447663625513,37.320057394298,8.48270286676824e-16
"Nhat[171]",2.06440948,2.04484726204629,149.964891280807,7.21240644715868e-45
"Nhat[172]",1.34009971,1.41240257890884,87.3654474582946,2.57359216240258e-13
"Nhat[173]",2.50923344,2.40590760180593,21.6285281585013,2.19755340286477e-08
"Nhat[174]",2.46866146,2.37615523899519,20.9390200709273,1.58434957670009e-08
"Nhat[175]",2.51264715,2.25510193605395,12.5197919980722,6.67563830784618e-26
"Nhat[176]",1.37110561,1.3791016079843,4.83174673965998,5.24824062670136e-12
"Nhat[177]",1.936244,1.93403383032367,9.49421933516175,2.54955385734792e-14
"Nhat[178]",1.56671565,1.54532242491224,6.09356593214472,3.44668290959134e-21
"Nhat[179]",1.56051136,1.58813712464847,5.9926391375323,2.37602333480957e-21
"Nhat[180]",1.77231962,1.72084207908683,6.39547990844414,1.9693364624499e-21
"Nhat[181]",3.31129697,3.09719996869202,17.1088121055902,6.11728796745812e-10
"Nhat[182]",2.57313046,2.43366213284739,87.2666118213305,3.03537930147676e-09
"Nhat[183]",3.97273009,3.32520455772448,25.1209480802119,5.12930526132766e-28
"Nhat[184]",2.44395649,2.33913489040248,8.72284545327902,1.93255218796574e-40
"Nhat[185]",2.14812557,2.42126547260773,233.467571221193,1.87809520204776e-15
"Nhat[186]",1.46555371,1.55592295719534,41.0534655797057,7.37882587567607e-11
"Nhat[187]",3.16706466,2.99803965957811,65.3674475591564,3.21037310836052e-16
"Nhat[188]",1.26432047,1.35465547134514,29.7119618688471,3.63642521253976e-16
"Nhat[189]",0.78298418,1.13668171680978,65.2912971048598,5.33487325754891e-15
"Nhat[190]",1.36730733,1.38807733952301,5.82939586745708,1.30660128947481e-25
"Nhat[191]",0.9979592,1.1572253089874,147.591557679854,8.24649301731584e-27
"Nhat[192]",0.71750274,1.16658774010346,1176.8505443246,4.88406393565265e-13
"Nhat[193]",4.94524213,4.11052316070817,12.029256972005,1.60451721225807e-27
"Nhat[194]",2.7581547,2.75268578756337,13.4924712934375,3.57245966569796e-05
"Nhat[195]",1.66749104,1.83780407654505,19.1180591390684,0.000126869311151749
"Nhat[196]",2.30995558,2.35246685438482,8.370916694056,2.8110516088159e-05
"Nhat[197]",3.58654775,3.34284434214774,8.12193664810255,1.56582143834744e-13
"Nhat[198]",4.71307129,4.53856938092838,25.9484124473344,2.09234958553824e-05
"Nhat[199]",2.63334167,2.5457057970338,7.27012348106626,8.38105179654799e-06
"Nhat[200]",4.282892,4.07572367988762,12.5155289724597,0.0032828255326098
"Nhat[201]",2.57309294,2.67683226062747,6.21909254035534,4.00814969898722e-07
"Nhat[202]",2.0104699,2.0752663659738,9.82134652142405,1.23472595484023e-06
"Nhat[203]",2.61981154,2.67557761952323,7.16294107672756,1.90417992621788e-06
"Nhat[204]",2.21412449,2.41255910309927,240.15852671622,3.60438216370924e-17
